id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,aideck,receivebyte
3,1,motion,motion
4,5,motion,deltaX
5,5,motion,deltaY
6,2,motion,shutter
7,1,motion,maxRaw
8,1,motion,minRaw
9,1,motion,Rawsum
10,1,motion,outlierCount
11,1,motion,squal
12,7,motion,std
13,7,ring,fadeTime
14,1,loco,mode
15,7,loco,spiWr
16,7,loco,spiRe
17,2,ranging,state
18,7,ranging,distance0
19,7,ranging,distance1
20,7,ranging,distance2
21,7,ranging,distance3
22,7,ranging,distance4
23,7,ranging,distance5
24,7,ranging,distance6
25,7,ranging,distance7
26,7,ranging,pressure0
27,7,ranging,pressure1
28,7,ranging,pressure2
29,7,ranging,pressure3
30,7,ranging,pressure4
31,7,ranging,pressure5
32,7,ranging,pressure6
33,7,ranging,pressure7
34,7,tdoa2,d7-0
35,7,tdoa2,d0-1
36,7,tdoa2,d1-2
37,7,tdoa2,d2-3
38,7,tdoa2,d3-4
39,7,tdoa2,d4-5
40,7,tdoa2,d5-6
41,7,tdoa2,d6-7
42,7,tdoa2,cc0
43,7,tdoa2,cc1
44,7,tdoa2,cc2
45,7,tdoa2,cc3
46,7,tdoa2,cc4
47,7,tdoa2,cc5
48,7,tdoa2,cc6
49,7,tdoa2,cc7
50,2,tdoa2,dist7-0
51,2,tdoa2,dist0-1
52,2,tdoa2,dist1-2
53,2,tdoa2,dist2-3
54,2,tdoa2,dist3-4
55,2,tdoa2,dist4-5
56,2,tdoa2,dist5-6
57,2,tdoa2,dist6-7
58,1,twr,rangingSuccessRate0
59,1,twr,rangingPerSec0
60,1,twr,rangingSuccessRate1
61,1,twr,rangingPerSec1
62,1,twr,rangingSuccessRate2
63,1,twr,rangingPerSec2
64,1,twr,rangingSuccessRate3
65,1,twr,rangingPerSec3
66,1,twr,rangingSuccessRate4
67,1,twr,rangingPerSec4
68,1,twr,rangingSuccessRate5
69,1,twr,rangingPerSec5
70,2,oa,front
71,2,oa,back
72,2,oa,up
73,2,oa,left
74,2,oa,right
75,7,usd,spiWrBps
76,7,usd,spiReBps
77,7,usd,fatWrBps
78,3,pwm,m1_pwm
79,3,pwm,m2_pwm
80,3,pwm,m3_pwm
81,3,pwm,m4_pwm
82,7,pm,vbat
83,2,pm,vbatMV
84,7,pm,extVbat
85,2,pm,extVbatMV
86,7,pm,extCurr
87,7,pm,chargeCurrent
88,4,pm,state
89,1,pm,batteryLevel
90,1,radio,rssi
91,1,radio,isConnected
92,5,gyro,xRaw
93,5,gyro,yRaw
94,5,gyro,zRaw
95,7,gyro,xVariance
96,7,gyro,yVariance
97,7,gyro,zVariance
98,7,gyro,x
99,7,gyro,y
100,7,gyro,z
101,7,pid_attitude,roll_outP
102,7,pid_attitude,roll_outI
103,7,pid_attitude,roll_outD
104,7,pid_attitude,pitch_outP
105,7,pid_attitude,pitch_outI
106,7,pid_attitude,pitch_outD
107,7,pid_attitude,yaw_outP
108,7,pid_attitude,yaw_outI
109,7,pid_attitude,yaw_outD
110,7,pid_rate,roll_outP
111,7,pid_rate,roll_outI
112,7,pid_rate,roll_outD
113,7,pid_rate,pitch_outP
114,7,pid_rate,pitch_outI
115,7,pid_rate,pitch_outD
116,7,pid_rate,yaw_outP
117,7,pid_rate,yaw_outI
118,7,pid_rate,yaw_outD
119,3,colAv,latency
120,7,ctrlINDI,cmd_thrust
121,7,ctrlINDI,cmd_roll
122,7,ctrlINDI,cmd_pitch
123,7,ctrlINDI,cmd_yaw
124,7,ctrlINDI,r_roll
125,7,ctrlINDI,r_pitch
126,7,ctrlINDI,r_yaw
127,7,ctrlINDI,u_act_dyn_p
128,7,ctrlINDI,u_act_dyn_q
129,7,ctrlINDI,u_act_dyn_r
130,7,ctrlINDI,du_p
131,7,ctrlINDI,du_q
132,7,ctrlINDI,du_r
133,7,ctrlINDI,ang_accel_ref_p
134,7,ctrlINDI,ang_accel_ref_q
135,7,ctrlINDI,ang_accel_ref_r
136,7,ctrlINDI,rate_d[0]
137,7,ctrlINDI,rate_d[1]
138,7,ctrlINDI,rate_d[2]
139,7,ctrlINDI,uf_p
140,7,ctrlINDI,uf_q
141,7,ctrlINDI,uf_r
142,7,ctrlINDI,Omega_f_p
143,7,ctrlINDI,Omega_f_q
144,7,ctrlINDI,Omega_f_r
145,7,ctrlINDI,n_p
146,7,ctrlINDI,n_q
147,7,ctrlINDI,n_r
148,7,ctrlMel,cmd_thrust
149,7,ctrlMel,cmd_roll
150,7,ctrlMel,cmd_pitch
151,7,ctrlMel,cmd_yaw
152,7,ctrlMel,r_roll
153,7,ctrlMel,r_pitch
154,7,ctrlMel,r_yaw
155,7,ctrlMel,accelz
156,7,ctrlMel,zdx
157,7,ctrlMel,zdy
158,7,ctrlMel,zdz
159,7,ctrlMel,i_err_x
160,7,ctrlMel,i_err_y
161,7,ctrlMel,i_err_z
162,7,controller,cmd_thrust
163,7,controller,cmd_roll
164,7,controller,cmd_pitch
165,7,controller,cmd_yaw
166,7,controller,r_roll
167,7,controller,r_pitch
168,7,controller,r_yaw
169,7,controller,accelz
170,7,controller,actuatorThrust
171,7,controller,roll
172,7,controller,pitch
173,7,controller,yaw
174,7,controller,rollRate
175,7,controller,pitchRate
176,7,controller,yawRate
177,5,controller,ctr_yaw
178,7,ext_pos,X
179,7,ext_pos,Y
180,7,ext_pos,Z
181,7,locSrv,x
182,7,locSrv,y
183,7,locSrv,z
184,7,locSrv,qx
185,7,locSrv,qy
186,7,locSrv,qz
187,7,locSrv,qw
188,2,locSrvZ,tick
189,2,crtp,rxRate
190,2,crtp,txRate
191,1,kalman,inFlight
192,7,kalman,stateX
193,7,kalman,stateY
194,7,kalman,stateZ
195,7,kalman,statePX
196,7,kalman,statePY
197,7,kalman,statePZ
198,7,kalman,stateD0
199,7,kalman,stateD1
200,7,kalman,stateD2
201,7,kalman,varX
202,7,kalman,varY
203,7,kalman,varZ
204,7,kalman,varPX
205,7,kalman,varPY
206,7,kalman,varPZ
207,7,kalman,varD0
208,7,kalman,varD1
209,7,kalman,varD2
210,7,kalman,q0
211,7,kalman,q1
212,7,kalman,q2
213,7,kalman,q3
214,7,kalman,rtUpdate
215,7,kalman,rtPred
216,7,kalman,rtFinal
217,6,outlierf,lhWin
218,6,outlierf,bucket0
219,6,outlierf,bucket1
220,6,outlierf,bucket2
221,6,outlierf,bucket3
222,6,outlierf,bucket4
223,7,outlierf,accLev
224,7,outlierf,errD
225,7,estimator,rtApnd
226,7,estimator,rtRej
227,7,extrx,thrust
228,7,extrx,roll
229,7,extrx,pitch
230,7,extrx,yawRate
231,7,extrx,zVel
232,1,extrx,AltHold
233,1,extrx,Arm
234,2,extrx_raw,ch0
235,2,extrx_raw,ch1
236,2,extrx_raw,ch2
237,2,extrx_raw,ch3
238,2,extrx_raw,ch4
239,2,extrx_raw,ch5
240,2,extrx_raw,ch6
241,2,extrx_raw,ch7
242,7,health,motorVarXM1
243,7,health,motorVarYM1
244,7,health,motorVarXM2
245,7,health,motorVarYM2
246,7,health,motorVarXM3
247,7,health,motorVarYM3
248,7,health,motorVarXM4
249,7,health,motorVarYM4
250,1,health,motorPass
251,7,health,batterySag
252,1,health,batteryPass
253,2,health,motorTestCount
254,3,memTst,errCntW
255,7,posCtrlIndi,posRef_x
256,7,posCtrlIndi,posRef_y
257,7,posCtrlIndi,posRef_z
258,7,posCtrlIndi,velS_x
259,7,posCtrlIndi,velS_y
260,7,posCtrlIndi,velS_z
261,7,posCtrlIndi,velRef_x
262,7,posCtrlIndi,velRef_y
263,7,posCtrlIndi,velRef_z
264,7,posCtrlIndi,angS_roll
265,7,posCtrlIndi,angS_pitch
266,7,posCtrlIndi,angS_yaw
267,7,posCtrlIndi,angF_roll
268,7,posCtrlIndi,angF_pitch
269,7,posCtrlIndi,angF_yaw
270,7,posCtrlIndi,accRef_x
271,7,posCtrlIndi,accRef_y
272,7,posCtrlIndi,accRef_z
273,7,posCtrlIndi,accS_x
274,7,posCtrlIndi,accS_y
275,7,posCtrlIndi,accS_z
276,7,posCtrlIndi,accF_x
277,7,posCtrlIndi,accF_y
278,7,posCtrlIndi,accF_z
279,7,posCtrlIndi,accFT_x
280,7,posCtrlIndi,accFT_y
281,7,posCtrlIndi,accFT_z
282,7,posCtrlIndi,accErr_x
283,7,posCtrlIndi,accErr_y
284,7,posCtrlIndi,accErr_z
285,7,posCtrlIndi,phi_tilde
286,7,posCtrlIndi,theta_tilde
287,7,posCtrlIndi,T_tilde
288,7,posCtrlIndi,T_inner
289,7,posCtrlIndi,T_inner_f
290,7,posCtrlIndi,T_incremented
291,7,posCtrlIndi,cmd_phi
292,7,posCtrlIndi,cmd_theta
293,7,posCtl,targetVX
294,7,posCtl,targetVY
295,7,posCtl,targetVZ
296,7,posCtl,targetX
297,7,posCtl,targetY
298,7,posCtl,targetZ
299,7,posCtl,bodyVX
300,7,posCtl,bodyVY
301,7,posCtl,bodyX
302,7,posCtl,bodyY
303,7,posCtl,Yp
304,7,posCtl,Yi
305,7,posCtl,Yd
306,7,posCtl,Zp
307,7,posCtl,Zi
308,7,posCtl,Zd
309,7,posCtl,VXp
310,7,posCtl,VXi
311,7,posCtl,VXd
312,7,posCtl,VZp
313,7,posCtl,VZi
314,7,posCtl,VZd
315,7,posEstAlt,estimatedZ
316,7,posEstAlt,estVZ
317,7,posEstAlt,velocityZ
318,3,motor,m1
319,3,motor,m2
320,3,motor,m3
321,3,motor,m4
322,2,range,front
323,2,range,back
324,2,range,up
325,2,range,left
326,2,range,right
327,2,range,zrange
328,7,sensfusion6,qw
329,7,sensfusion6,qx
330,7,sensfusion6,qy
331,7,sensfusion6,qz
332,7,sensfusion6,gravityX
333,7,sensfusion6,gravityY
334,7,sensfusion6,gravityZ
335,7,sensfusion6,accZbase
336,1,sensfusion6,isInit
337,1,sensfusion6,isCalibrated
338,7,acc,x
339,7,acc,y
340,7,acc,z
341,7,baro,asl
342,7,baro,temp
343,7,baro,pressure
344,7,ctrltarget,x
345,7,ctrltarget,y
346,7,ctrltarget,z
347,7,ctrltarget,vx
348,7,ctrltarget,vy
349,7,ctrltarget,vz
350,7,ctrltarget,ax
351,7,ctrltarget,ay
352,7,ctrltarget,az
353,7,ctrltarget,roll
354,7,ctrltarget,pitch
355,7,ctrltarget,yaw
356,5,ctrltargetZ,x
357,5,ctrltargetZ,y
358,5,ctrltargetZ,z
359,5,ctrltargetZ,vx
360,5,ctrltargetZ,vy
361,5,ctrltargetZ,vz
362,5,ctrltargetZ,ax
363,5,ctrltargetZ,ay
364,5,ctrltargetZ,az
365,7,mag,x
366,7,mag,y
367,7,mag,z
368,7,stabilizer,roll
369,7,stabilizer,pitch
370,7,stabilizer,yaw
371,7,stabilizer,thrust
372,7,stabilizer,rtStab
373,3,stabilizer,intToOut
374,7,stateEstimate,x
375,7,stateEstimate,y
376,7,stateEstimate,z
377,7,stateEstimate,vx
378,7,stateEstimate,vy
379,7,stateEstimate,vz
380,7,stateEstimate,ax
381,7,stateEstimate,ay
382,7,stateEstimate,az
383,7,stateEstimate,roll
384,7,stateEstimate,pitch
385,7,stateEstimate,yaw
386,7,stateEstimate,qx
387,7,stateEstimate,qy
388,7,stateEstimate,qz
389,7,stateEstimate,qw
390,5,stateEstimateZ,x
391,5,stateEstimateZ,y
392,5,stateEstimateZ,z
393,5,stateEstimateZ,vx
394,5,stateEstimateZ,vy
395,5,stateEstimateZ,vz
396,5,stateEstimateZ,ax
397,5,stateEstimateZ,ay
398,5,stateEstimateZ,az
399,3,stateEstimateZ,quat
400,5,stateEstimateZ,rateRoll
401,5,stateEstimateZ,ratePitch
402,5,stateEstimateZ,rateYaw
403,1,sys,canfly
404,1,sys,isFlying
405,1,sys,isTumbled
406,4,sys,armed
407,7,tdoaEngine,stRx
408,7,tdoaEngine,stEst
409,7,tdoaEngine,stTime
410,7,tdoaEngine,stFound
411,7,tdoaEngine,stCc
412,7,tdoaEngine,stHit
413,7,tdoaEngine,stMiss
414,7,tdoaEngine,cc
415,2,tdoaEngine,tof
416,7,tdoaEngine,tdoa
417,7,kalman_pred,predNX
418,7,kalman_pred,predNY
419,7,kalman_pred,measNX
420,7,kalman_pred,measNY
421,1,lighthouse,validAngles
422,7,lighthouse,rawAngle0x
423,7,lighthouse,rawAngle0y
424,7,lighthouse,rawAngle1x
425,7,lighthouse,rawAngle1y
426,7,lighthouse,angle0x
427,7,lighthouse,angle0y
428,7,lighthouse,angle1x
429,7,lighthouse,angle1y
430,7,lighthouse,angle0x_1
431,7,lighthouse,angle0y_1
432,7,lighthouse,angle1x_1
433,7,lighthouse,angle1y_1
434,7,lighthouse,angle0x_2
435,7,lighthouse,angle0y_2
436,7,lighthouse,angle1x_2
437,7,lighthouse,angle1y_2
438,7,lighthouse,angle0x_3
439,7,lighthouse,angle0y_3
440,7,lighthouse,angle1x_3
441,7,lighthouse,angle1y_3
442,7,lighthouse,rawAngle0xlh2
443,7,lighthouse,rawAngle0ylh2
444,7,lighthouse,rawAngle1xlh2
445,7,lighthouse,rawAngle1ylh2
446,7,lighthouse,angle0x_0lh2
447,7,lighthouse,angle0y_0lh2
448,7,lighthouse,angle1x_0lh2
449,7,lighthouse,angle1y_0lh2
450,7,lighthouse,serRt
451,7,lighthouse,frmRt
452,7,lighthouse,cycleRt
453,7,lighthouse,bs0Rt
454,7,lighthouse,bs1Rt
455,2,lighthouse,width0
456,2,lighthouse,width1
457,2,lighthouse,width2
458,2,lighthouse,width3
459,1,lighthouse,comSync
460,2,lighthouse,bsReceive
461,2,lighthouse,bsActive
462,2,lighthouse,bsCalUd
463,2,lighthouse,bsCalCon
464,1,lighthouse,status
465,7,lighthouse,posRt
466,7,lighthouse,estBs0Rt
467,7,lighthouse,estBs1Rt
468,7,lighthouse,x
469,7,lighthouse,y
470,7,lighthouse,z
471,7,lighthouse,delta
472,2,lighthouse,bsGeoVal
473,2,lighthouse,bsCalVal
